2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
2.7,4.7,.573,0.0,,0.0,0.6,0.6,2.6,2.7,4.7,.573,1.7,2.8,.619,38,0,14.6,2.6,,7.1,Tony Bradley,11.76,0.3,UNC,0.7,5.1,2018
4.2,8.0,.518,1.2,.362,3.4,2.6,0.5,2.9,5.4,11.4,.472,2.8,3.5,.794,109,98,28.9,1.6,,14.8,Dillon Brooks,8.23,0.9,Oregon,2.1,4.5,2018
0.4,0.9,.483,0.2,.353,0.5,0.4,0.0,0.4,0.6,1.4,.435,0.3,0.5,.533,32,0,4.9,0.3,,1.7,Sterling Brown,10.11,0.1,Washington,0.3,0.8,2018
4.0,6.4,.630,0.4,.373,1.1,1.2,1.2,4.1,4.4,7.5,.592,3.0,4.1,.718,69,69,25.3,2.1,,12.2,Thomas Bryant,7.53,0.6,Indiana,2.0,6.2,2018
2.1,4.2,.509,0.7,.340,2.0,4.7,0.4,3.0,2.8,6.1,.455,1.7,2.5,.685,137,120,28.7,0.8,,8.0,Alex Caruso,5.71,2.0,Texas A&M,2.5,3.7,2018
4.0,7.8,.508,1.6,.412,4.0,1.6,0.3,5.8,5.6,11.8,.476,4.7,5.6,.837,73,73,31.3,2.2,,17.5,Tyler Cavanaugh,,0.5,George Washington,2.4,8.0,2018
2.9,6.0,.473,2.1,.362,5.9,1.7,0.6,4.2,5.0,11.9,.418,3.1,4.4,.698,70,39,31.0,0.9,,15.2,Gian Clavell,1.47,1.3,Colorado State,1.6,5.2,2018
4.3,8.0,.540,0.5,.288,1.8,2.0,0.6,3.3,4.8,9.8,.494,2.7,4.4,.612,121,108,28.8,1.4,,12.9,Antonius Cleveland,-4.51,1.3,Southeast Missouri State,1.9,4.7,2018
4.9,8.2,.602,0.0,.000,0.0,0.4,1.2,4.2,4.9,8.2,.601,3.6,4.9,.729,64,34,20.7,2.8,,13.4,John Collins,10.16,0.5,Wake Forest,1.4,7.0,2018
3.2,4.8,.672,0.3,.476,0.5,0.4,1.8,4.2,3.5,5.3,.652,2.8,3.8,.743,39,0,17.3,1.7,,10.0,Zach Collins,4.13,0.5,Gonzaga,1.5,5.9,2018
4.2,8.5,.495,0.2,.280,0.8,5.0,0.4,5.3,4.4,9.2,.477,3.2,4.9,.642,140,128,30.9,2.2,,12.2,Kyle Collinsworth,4.71,1.6,BYU,2.6,7.5,2018
3.4,7.0,.484,1.8,.399,4.4,2.3,1.1,4.3,5.1,11.4,.451,3.6,5.2,.695,61,58,31.9,1.2,,15.7,Charles Cooke,,1.2,Dayton,1.9,5.5,2018
2.3,4.1,.576,0.0,.167,0.1,0.8,1.1,2.9,2.4,4.2,.567,1.3,1.8,.713,138,62,16.5,1.7,,6.0,Matt Costello,9.21,0.4,Michigan State,0.7,4.7,2018
3.4,6.9,.495,2.3,.330,6.9,1.8,0.8,5.1,5.7,13.8,.413,2.6,3.8,.671,131,124,31.0,2.1,,16.2,Torrey Craig,-2.98,1.1,USC Upstate,2.6,7.2,2018
2.5,5.1,.493,2.1,.416,5.0,1.8,0.1,2.8,4.6,10.0,.455,2.9,3.9,.732,75,74,30.0,1.1,,14.1,Tyler Dorsey,8.51,0.8,Oregon,1.7,3.9,2018
3.1,5.3,.575,2.7,.412,6.5,1.2,0.2,5.1,5.7,11.8,.485,1.5,1.9,.832,64,64,32.6,1.7,,15.6,Damyean Dotson,,0.8,Houston,1.0,6.9,2018
3.3,6.8,.484,1.2,.344,3.4,3.8,0.6,3.4,4.4,10.2,.438,3.2,4.5,.718,121,98,30.4,0.7,,13.3,Milton Doyle,0.36,1.2,Loyola (IL),3.1,4.1,2018
3.3,7.4,.442,0.7,.277,2.7,2.4,0.3,3.0,4.0,10.1,.398,1.6,2.8,.579,70,64,24.0,0.9,,10.4,PJ Dozier,7.99,1.3,South Carolina,2.4,3.9,2018
4.7,10.2,.458,1.0,.407,2.5,5.8,0.1,3.2,5.7,12.7,.448,4.2,5.1,.818,54,52,29.1,0.6,,16.6,Jawun Evans,10.51,1.5,Oklahoma State,2.7,3.8,2018
5.5,10.5,.521,0.5,.246,1.9,4.6,0.2,3.4,5.9,12.4,.479,4.3,5.9,.736,36,34,29.6,0.6,,16.7,De'Aaron Fox,10.49,1.5,Kentucky,2.4,4.0,2018
6.3,12.5,.502,2.1,.413,5.0,5.9,1.2,4.4,8.4,17.6,.476,4.4,6.7,.649,25,25,35.7,1.3,,23.2,Markelle Fultz,6.82,1.6,Washington,3.2,5.7,2018
2.1,4.5,.470,0.3,.242,1.4,2.8,0.0,1.8,2.5,6.0,.415,1.0,1.6,.610,63,29,20.1,0.3,,6.3,Josh Gray,,1.0,LSU,2.0,2.1,2018
2.9,7.1,.409,1.3,.337,3.9,4.2,0.4,7.3,4.2,10.9,.384,2.0,2.6,.772,71,71,31.6,1.0,,11.7,Daniel Hamilton,5.25,1.0,UConn,2.3,8.3,2018
3.6,7.5,.479,0.2,.216,1.2,3.5,0.4,3.6,3.9,8.7,.444,3.2,4.9,.645,133,133,30.2,0.9,,11.1,Shaquille Harrison,2.67,1.8,Tulsa,2.3,4.5,2018
3.2,5.4,.592,1.4,.389,3.6,1.8,0.3,3.8,4.6,9.1,.511,2.5,3.4,.720,146,77,28.0,1.7,,13.2,Josh Hart,8.51,1.1,Villanova,1.3,5.6,2018
3.4,7.0,.478,0.7,.332,2.0,2.1,0.4,3.5,4.0,9.1,.446,3.6,5.5,.666,150,112,29.6,1.8,,12.4,Nigel Hayes,9.82,0.9,Wisconsin,1.6,5.3,2018
