,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
205,Kris Dunn,Providence,95,0.45,0.354,0.693,5.1,5.8,2.2,0.4,3.3,12.8
206,Henry Ellenson,Marquette,33,0.446,0.28800000000000003,0.7490000000000001,9.7,1.8,0.8,1.5,2.4,17.0
207,Joel Embiid,Kansas,28,0.626,0.2,0.685,8.1,1.4,0.9,2.6,2.4,11.2
208,Dorian Finney-Smith,Florida,101,0.428,0.361,0.6729999999999999,7.1,1.9,0.8,0.7,1.8,12.1
209,Bryn Forbes,Michigan State,74,0.467,0.45799999999999996,0.8270000000000001,1.7,1.2,0.5,0.1,0.8,11.3
210,Patricio Garino,George Washington,129,0.508,0.364,0.6709999999999999,4.3,1.7,1.7,0.7,2.2,12.0
211,Michael Gbinije,Syracuse,101,0.452,0.387,0.631,3.6,3.0,1.5,0.3,1.8,11.3
212,Marcus Georges-Hunt,Georgia Tech,130,0.433,0.32899999999999996,0.7490000000000001,4.5,2.2,0.9,0.2,1.7,13.3
213,Jonathan Gibson,New Mexico State,131,0.436,0.39799999999999996,0.758,1.9,1.8,1.0,0.0,1.6,11.8
214,Treveon Graham,VCU,140,0.43200000000000005,0.354,0.691,5.8,1.4,0.8,0.2,1.4,13.4
215,A.J. Hammons,Purdue,132,0.539,0.261,0.69,7.0,0.8,0.4,2.6,2.1,12.1
216,Andrew Harrison,Kentucky,79,0.37200000000000005,0.36700000000000005,0.777,2.7,3.8,0.8,0.2,2.2,10.1
217,Buddy Hield,Oklahoma,132,0.44799999999999995,0.39,0.836,5.0,1.9,1.3,0.3,2.2,17.4
218,Danuel House,Texas A&M,62,0.40399999999999997,0.344,0.6859999999999999,4.3,2.1,0.6,0.4,1.8,15.3
219,Brandon Ingram,Duke,36,0.442,0.41,0.682,6.8,2.0,1.1,1.4,2.0,17.3
220,Demetrius Jackson,Pacific,57,0.402,0.348,0.8370000000000001,2.8,3.3,1.1,0.1,3.4,13.4
221,Pierre Jackson,Baylor,74,0.441,0.379,0.8079999999999999,3.3,6.5,1.6,0.0,3.5,16.7
222,Brice Johnson,UNC,148,0.5770000000000001,0.333595588235294,0.715,7.0,0.9,0.8,1.1,1.3,11.9
223,Damian Jones,Vanderbilt,99,0.5660000000000001,0.125,0.565,6.4,0.7,0.4,1.7,2.0,13.3
224,Derrick Jones,Samford,61,0.44299999999999995,0.39,0.634,4.1,2.1,0.6,0.3,2.8,11.2
225,Skal Labissiere,Kentucky,36,0.516,0.0,0.6609999999999999,3.1,0.3,0.3,1.6,0.9,6.6
226,Jake Layman,Maryland,141,0.445,0.36200000000000004,0.759,4.8,1.1,0.9,0.8,1.4,10.2
227,Caris LeVert,Michigan,103,0.434,0.401,0.77,3.5,2.7,0.9,0.2,1.3,10.4
228,Shawn Long,Louisiana,135,0.503,0.341,0.6759999999999999,10.7,1.1,0.7,2.0,2.4,17.3
229,Patrick McCaw,UNLV,65,0.439,0.36700000000000005,0.753,4.2,3.3,2.0,0.4,1.9,12.2
230,Rodney McGruder,Kansas State,135,0.452,0.381,0.759,4.8,1.4,0.9,0.3,1.3,11.7
231,Dejounte Murray,Washington,34,0.41600000000000004,0.28800000000000003,0.6629999999999999,6.0,4.4,1.8,0.3,3.2,16.1
232,Jamal Murray,Kentucky,36,0.45399999999999996,0.408,0.7829999999999999,5.2,2.2,1.0,0.3,2.3,20.0
